epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2888,1.59885,3.23021,0.73192,3.33399,1.92465,0.40387,0.40541,0.35926,0.25334,0.19328,0.62162,0.34925,0.08812,1.72334,3.50845,0.71294,3.03597,2.14195,0.0001,0.0001,0.0001
2,17.0672,1.27658,3.05752,0.7133,2.03718,1.71096,0.76691,0.71155,0.85272,0.59646,0.76694,0.7027,0.78798,0.18245,0.91731,3.51153,0.66663,1.92283,1.31252,0.000219564,0.000219564,0.000219564
3,26.3386,1.01781,2.79897,0.63478,1.01272,1.38729,1,0.94595,0.99269,0.83415,0.85714,0.81081,0.80234,0.16637,0.66884,3.42882,0.60582,2.50102,1.24644,0.000338654,0.000338654,0.000338654
4,31.0238,0.92562,2.39035,0.61229,0.86079,1.32267,1,0.91892,0.98868,0.80019,0.82353,0.75676,0.72163,0.14064,0.66646,3.43378,0.5112,1.80759,1.22051,0.000457268,0.000457268,0.000457268
5,35.6812,0.98284,2.14207,0.59463,0.93135,1.33405,0.00627,0.05405,0.0054,0.00253,0.03333,0.59459,0.02874,0.00593,2.99136,3.64644,0.5416,114.973,3.56048,0.000575406,0.000575406,0.000575406
6,39.6364,1.03486,1.91551,0.59053,0.98891,1.41631,0.00257,0.13514,0.00153,0.00057,0.01573,0.37838,0.01299,0.0027,4.21828,4.42448,0.61604,inf,12.0104,0.00069307,0.00069307,0.00069307
7,44.2623,1.0657,1.98009,0.58842,1.07962,1.43888,0.01657,0.05405,0.00537,0.00423,0.03812,0.35135,0.02743,0.00707,nan,nan,nan,nan,nan,0.000810258,0.000810258,0.000810258
8,48.7,1.11548,1.91026,0.52595,1.03382,1.474,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.000926972,0.000926972,0.000926972
9,52.7051,1.26079,1.82801,0.58299,1.19503,1.60901,0.02439,0.21622,0.02938,0.0064,0.00305,0.02703,0.00157,0.00031,4.27052,11.3563,0.00035,192.655,51.9367,0.00104321,0.00104321,0.00104321
10,56.902,1.0831,2.03214,0.51924,1.0745,1.38584,0.00267,0.02703,0.00139,0.00014,0.02933,0.2973,0.02062,0.00557,4.66287,4.13037,0.21518,136.784,7.60596,0.00115897,0.00115897,0.00115897
11,61.5777,1.11785,2.26694,0.50326,0.99929,1.46536,0.00785,0.05405,0.00284,0.00063,0.02374,0.21622,0.01502,0.00375,4.82588,4.55866,8.66088,276.904,443.223,0.00127426,0.00127426,0.00127426
12,65.6897,1.17682,1.66647,0.5192,1.06817,1.47643,0.00967,0.13514,0.00199,0.00034,0.02901,0.40541,0.02653,0.00463,4.56767,5.9248,0.78143,286.683,16.4312,0.00138907,0.00138907,0.00138907
13,69.7206,1.10004,1.73129,0.54422,1.00787,1.47536,0,0,0,0,0.00299,0.27027,0.00216,0.00038,5.37546,7.2637,0.33233,inf,16.6708,0.00150341,0.00150341,0.00150341
14,74.1044,1.2662,1.69223,0.52142,1.0088,1.54339,0,0,0,0,0.00602,0.59459,0.00622,0.00129,5.19138,5.23941,0.47007,inf,11.9147,0.00161727,0.00161727,0.00161727
15,78.2259,1.27946,1.83576,0.51256,1.06036,1.57003,0,0,0,0,0.00186,0.35135,0.00126,0.00035,5.85782,8.18991,0.36957,inf,49.4919,0.00173066,0.00173066,0.00173066
16,82.1638,1.18373,1.65627,0.53719,1.0488,1.53114,0.00414,0.02703,0.00048,0.00011,0.0662,0.45946,0.06229,0.01375,5.19542,4.07841,0.0645,51.503,8.28611,0.00184357,0.00184357,0.00184357
17,86.4701,1.1341,1.69602,0.47074,0.99433,1.45217,0.00154,0.02703,0.00029,3e-05,0.08308,0.13514,0.03868,0.00695,5.22585,4.21735,0.25303,13.1521,8.3969,0.00193664,0.00193664,0.00193664
18,90.8213,1.18606,1.44379,0.48533,1.02617,1.49371,0.0226,0.10811,0.0101,0.00198,0.02825,0.13514,0.01786,0.00331,4.37959,6.03464,0.17533,133.087,12.3965,0.00193268,0.00193268,0.00193268
19,94.8063,1.14215,1.54707,0.46769,1.00188,1.46525,0.00555,0.10811,0.00214,0.00026,0.01456,0.16216,0.00823,0.00192,4.71305,7.08587,0.14348,inf,99.3151,0.00192872,0.00192872,0.00192872
20,99.0322,1.14352,1.59063,0.48474,0.98338,1.54447,0.01772,0.13514,0.00502,0.00096,0.04251,0.32432,0.0202,0.0033,5.18312,7.41309,0.33369,362.524,66.961,0.00192476,0.00192476,0.00192476
21,103.319,1.09761,1.82761,0.44219,0.87886,1.38988,0.01489,0.16216,0.00687,0.00124,0.02678,0.37838,0.01939,0.00354,5.15079,7.46936,0.16613,560.959,42.5908,0.0019208,0.0019208,0.0019208
22,107.357,1.03285,1.49259,0.41316,0.83537,1.39464,0,0,0,0,0.01801,0.18919,0.00876,0.00197,5.54338,4.9862,1.27339,337.458,14.824,0.00191684,0.00191684,0.00191684
23,111.46,1.17082,1.36344,0.45089,0.93062,1.51947,0.00653,0.02703,0.00089,0.00036,0.01165,0.02703,0.00466,0.00114,5.4489,4.35824,1.65995,28.3691,11.1138,0.00191288,0.00191288,0.00191288
24,116.012,1.05444,1.59097,0.46291,0.93366,1.37351,0.16816,0.02703,0.00748,0.0015,0.11908,0.05405,0.01504,0.00349,5.85482,3.86441,2.04735,7.66788,8.16628,0.00190892,0.00190892,0.00190892
25,119.912,0.97557,1.38645,0.48189,0.82301,1.31602,0.1309,0.10811,0.03311,0.0049,0.39299,0.32432,0.29726,0.0632,4.57685,4.09291,0.14778,5.05185,8.81785,0.00190496,0.00190496,0.00190496
26,124,0.95251,1.49223,0.41719,0.85348,1.33899,0.05381,0.10811,0.0244,0.01139,0.04733,0.18919,0.02858,0.00917,2.49524,4.27938,0.07716,18.7795,3.36922,0.001901,0.001901,0.001901
27,128.503,1.07414,1.36808,0.46221,0.85387,1.43622,0.31072,0.45946,0.26074,0.14422,0.11755,0.18919,0.04779,0.01171,1.59757,5.24507,0.02022,6.71238,2.17827,0.00189704,0.00189704,0.00189704
28,132.465,1.08424,1.31151,0.40453,0.84529,1.37749,0.45375,0.78378,0.61622,0.31145,0.15256,0.32432,0.16955,0.0406,1.68645,4.85945,0.0048,6.86654,2.14229,0.00189308,0.00189308,0.00189308
29,136.432,1.09448,1.17083,0.49567,0.87458,1.48875,0.50727,0.75676,0.71209,0.36765,0.16498,0.40541,0.19273,0.04582,1.61198,4.94266,0.00276,5.43017,1.98865,0.00188912,0.00188912,0.00188912
30,141.028,1.06903,1.15355,0.41016,0.95457,1.37877,0.42564,0.56757,0.53608,0.19685,0.19841,0.54054,0.17244,0.05508,2.05735,5.06967,0.00689,3.53733,2.46576,0.00188516,0.00188516,0.00188516
31,145.051,1.03853,1.21804,0.4357,0.85728,1.40724,0.36413,0.40541,0.37677,0.12257,0.23178,0.48649,0.20491,0.05046,2.16083,4.46364,0.02407,5.65246,2.87617,0.0018812,0.0018812,0.0018812
32,149.016,1.05127,1.16961,0.41132,0.88293,1.41598,0.6244,0.62162,0.70844,0.47053,0.39203,0.45946,0.27673,0.07136,0.93192,3.58696,0.01649,3.82858,1.39172,0.00187724,0.00187724,0.00187724
33,153.487,1.04914,1.08338,0.48888,0.77936,1.35283,0.50789,0.75676,0.69064,0.46838,0.35928,0.54054,0.35653,0.11681,0.94169,3.13658,0.01998,3.35204,1.29459,0.00187328,0.00187328,0.00187328
34,157.44,1.04983,1.13943,0.45909,0.8543,1.40859,0.78167,0.35135,0.41859,0.15637,0.08718,0.51351,0.08156,0.01954,1.85734,4.82745,0.05845,2.91096,2.58066,0.00186932,0.00186932,0.00186932
35,161.409,1.06558,1.14683,0.44846,0.84497,1.37088,0.7254,0.21622,0.30973,0.09816,0.12792,0.40541,0.09587,0.02167,2.16871,4.60953,0.07354,3.76234,3.01755,0.00186536,0.00186536,0.00186536
36,165.923,0.97986,1.40955,0.41699,0.79958,1.33278,0.08406,0.32432,0.05699,0.02393,0.52842,0.39394,0.41101,0.09151,2.41181,3.60101,0.10653,7.26077,3.08654,0.0018614,0.0018614,0.0018614
37,169.884,0.92573,1.17473,0.45519,0.76966,1.30624,0.12016,0.35135,0.10156,0.04924,0.62783,0.45605,0.52619,0.13227,2.0812,3.41019,0.08305,5.17995,2.66055,0.00185744,0.00185744,0.00185744
38,173.881,0.93092,1.06575,0.44385,0.76637,1.32606,0.696,0.64865,0.73657,0.50746,0.52044,0.51351,0.53528,0.25693,1.03064,2.88614,0.02608,2.63104,1.33271,0.00185348,0.00185348,0.00185348
39,178.421,0.91468,1.29386,0.39989,0.71658,1.32231,0.70712,0.64865,0.77678,0.49532,0.47364,0.48649,0.43598,0.18143,1.09975,2.98791,0.03091,3.17583,1.3686,0.00184952,0.00184952,0.00184952
40,182.572,0.98702,0.89196,0.40944,0.74795,1.4053,0.69001,0.83784,0.88061,0.47927,0.42793,0.56757,0.37209,0.16042,1.37854,3.52583,0.02661,2.02203,1.58654,0.00184556,0.00184556,0.00184556
41,186.568,0.93708,0.97993,0.439,0.74353,1.36132,0.83772,0.83711,0.90088,0.65359,0.50546,0.54054,0.38434,0.15193,0.9301,3.61074,0.02829,2.03745,1.23732,0.0018416,0.0018416,0.0018416
42,191.181,1.02996,0.89263,0.43665,0.86554,1.45046,0.9308,0.72718,0.88571,0.70734,0.48277,0.51351,0.36912,0.13871,0.84156,3.43427,0.02581,2.425,1.22227,0.00183764,0.00183764,0.00183764
43,195.429,0.92172,0.97475,0.43037,0.78095,1.35986,0.72341,0.70698,0.77487,0.58152,0.56041,0.62162,0.52804,0.19256,0.82133,2.80774,0.0364,2.0376,1.19156,0.00183368,0.00183368,0.00183368
44,199.456,0.88569,0.86131,0.4253,0.76356,1.27032,0.56194,0.67568,0.58391,0.35045,0.53946,0.64865,0.49604,0.18572,1.11652,2.92338,0.09937,3.83233,1.46824,0.00182972,0.00182972,0.00182972
45,204.056,0.92174,1.05083,0.40793,0.76059,1.33209,0.5063,0.67568,0.53934,0.38875,0.49755,0.62162,0.4887,0.16186,1.17765,3.1498,0.12219,3.541,1.55876,0.00182576,0.00182576,0.00182576
46,208.291,0.95493,0.95864,0.41108,0.75459,1.37515,0.66899,0.49176,0.59482,0.43034,0.70907,0.54054,0.64206,0.34238,1.19651,2.53675,0.1641,2.76525,1.59114,0.0018218,0.0018218,0.0018218
47,213.357,0.84649,0.75013,0.39607,0.71816,1.24447,0.84764,0.78378,0.83153,0.62626,0.78739,0.72973,0.71977,0.40416,0.88978,2.16779,0.07338,2.38876,1.25876,0.00181784,0.00181784,0.00181784
48,219.765,0.78887,0.75994,0.36599,0.63722,1.1885,0.65001,0.75676,0.79431,0.62264,0.52413,0.62521,0.54507,0.25251,0.90842,2.5663,0.04208,2.90636,1.26871,0.00181388,0.00181388,0.00181388
49,223.793,0.85565,0.67391,0.37133,0.68732,1.25744,0.87561,0.97297,0.95891,0.74348,0.74898,0.83784,0.72125,0.37812,0.8571,2.21113,0.02,1.63327,1.22606,0.00180992,0.00180992,0.00180992
50,229.509,0.90589,0.96374,0.40321,0.78827,1.3117,0.99763,0.91892,0.98292,0.79535,0.93841,0.86486,0.90251,0.5326,0.74932,1.97918,0.02865,0.79326,1.17661,0.00180596,0.00180596,0.00180596
51,239.016,0.90799,0.74071,0.4547,0.72253,1.30416,0.99834,0.97297,0.99305,0.80722,0.92851,0.86486,0.9046,0.65152,0.72015,1.88164,0.04456,1.07548,1.13955,0.001802,0.001802,0.001802
52,246.358,0.9355,0.74748,0.39498,0.74793,1.3275,0.98644,1,0.995,0.82613,0.9312,0.94595,0.91299,0.61228,0.69647,1.60415,0.05271,0.65862,1.12875,0.00179804,0.00179804,0.00179804
53,250.398,0.95479,0.76937,0.419,0.75004,1.36102,0.9861,1,0.995,0.8276,0.9861,1,0.995,0.6544,0.70813,1.24799,0.02565,0.6295,1.12207,0.00179408,0.00179408,0.00179408
54,260.134,0.92436,0.71628,0.428,0.7109,1.30329,0.97257,0.95854,0.99063,0.7877,0.78076,0.77015,0.65949,0.32615,0.72127,2.52532,0.03525,0.7332,1.11251,0.00179012,0.00179012,0.00179012
55,264.551,0.90783,0.69411,0.40078,0.7995,1.29659,0.97819,0.97297,0.99447,0.85592,0.94998,0.94595,0.95731,0.5576,0.66102,1.47001,0.0403,0.91764,1.07336,0.00178616,0.00178616,0.00178616
56,268.953,0.94564,0.81972,0.43001,0.74929,1.30671,0.81861,0.91892,0.94457,0.78678,0.76651,0.86486,0.87377,0.40633,0.71841,1.93203,0.08572,1.0343,1.12301,0.0017822,0.0017822,0.0017822
57,272.992,0.93582,0.87626,0.39688,0.74685,1.32011,0.82365,0.83784,0.94721,0.77085,0.67569,0.73208,0.69612,0.40814,0.72335,1.86612,0.03841,0.92477,1.11789,0.00177824,0.00177824,0.00177824
58,278.726,0.9103,0.81446,0.38719,0.7814,1.23838,0.86408,0.94595,0.95011,0.75996,0.79231,0.89189,0.86224,0.60499,0.69873,1.18542,0.01324,1.07612,1.12943,0.00177428,0.00177428,0.00177428
59,282.851,0.88031,0.78896,0.39054,0.69769,1.29815,0.85466,0.89189,0.94554,0.7628,0.67725,0.73739,0.67604,0.45957,0.66816,1.69701,0.00893,1.12598,1.12053,0.00177032,0.00177032,0.00177032
60,286.895,0.8439,0.79118,0.37761,0.66817,1.24164,0.98956,0.91892,0.97614,0.79643,0.96046,0.89189,0.94314,0.61877,0.72201,1.34388,0.01002,1.4696,1.15361,0.00176636,0.00176636,0.00176636
61,293.246,0.86715,0.76816,0.38795,0.77231,1.27303,0.89816,0.95354,0.98302,0.78471,0.89816,0.95354,0.98302,0.6898,0.75732,1.17588,0.01171,1.70131,1.18246,0.0017624,0.0017624,0.0017624
62,297.289,0.86094,0.60864,0.37367,0.69668,1.2894,0.97196,1,0.99447,0.8272,0.88433,0.91892,0.90045,0.49674,0.72267,1.72054,0.01304,1.43405,1.14364,0.00175844,0.00175844,0.00175844
63,301.396,0.95669,0.69314,0.3941,0.75119,1.33156,0.9735,0.99312,0.99447,0.80325,0.94701,0.9661,0.96088,0.44375,0.75409,1.9094,0.0136,1.38879,1.13872,0.00175448,0.00175448,0.00175448
64,305.94,0.78542,0.6183,0.38192,0.6641,1.2006,0.89875,0.95976,0.97541,0.76666,0.70751,0.75676,0.7051,0.43279,0.7667,2.93301,0.01661,0.94369,1.14773,0.00175052,0.00175052,0.00175052
65,309.94,0.87489,0.61257,0.3781,0.76463,1.33505,0.92068,0.94118,0.98614,0.82401,0.81634,0.841,0.82768,0.49179,0.7198,2.28298,0.01682,0.74989,1.10112,0.00174656,0.00174656,0.00174656
66,314.049,0.82133,0.69638,0.39745,0.69536,1.24755,0.97253,1,0.99447,0.8449,0.89012,0.89189,0.87893,0.68157,0.65825,1.07177,0.0198,0.60501,1.05203,0.0017426,0.0017426,0.0017426
67,319.482,0.86629,0.52106,0.37272,0.71443,1.25665,0.99587,1,0.995,0.83148,0.96158,0.94595,0.94492,0.73176,0.65343,1.06824,0.01879,0.57252,1.06658,0.00173864,0.00173864,0.00173864
68,329.86,0.82869,0.63422,0.33436,0.67244,1.23876,0.9931,1,0.995,0.83232,0.93925,0.94595,0.95179,0.74058,0.67834,1.13283,0.01993,0.59713,1.08533,0.00173468,0.00173468,0.00173468
69,338.148,0.87962,0.61748,0.36983,0.735,1.29017,0.99189,1,0.995,0.86098,0.91074,0.91892,0.86984,0.66016,0.6662,1.29272,0.02309,0.61918,1.06562,0.00173072,0.00173072,0.00173072
70,342.683,0.97376,0.71706,0.41645,0.72118,1.38431,0.97368,1,0.995,0.83401,0.89431,0.91892,0.86034,0.70207,0.71286,1.3265,0.03831,0.632,1.07968,0.00172676,0.00172676,0.00172676
71,346.658,0.8719,0.5834,0.39243,0.7027,1.29562,1,0.96448,0.99221,0.81996,0.91608,0.88523,0.86195,0.68498,0.68534,1.11852,0.04607,0.72125,1.0983,0.0017228,0.0017228,0.0017228
72,352.076,0.80749,0.53774,0.37188,0.7342,1.22971,1,0.93186,0.97526,0.78666,0.94159,0.87157,0.92307,0.79612,0.73453,0.86955,0.04858,0.89733,1.13241,0.00171884,0.00171884,0.00171884
73,357.119,0.82838,0.81921,0.3846,0.70996,1.24447,1,0.86233,0.9714,0.81645,0.96849,0.83078,0.88106,0.72282,0.68657,1.0379,0.0496,0.86065,1.10561,0.00171488,0.00171488,0.00171488
74,361.401,0.85625,0.67132,0.38027,0.71158,1.25853,1,0.88938,0.995,0.8187,0.96951,0.85949,0.9359,0.83659,0.72208,0.84971,0.04232,0.77668,1.1087,0.00171092,0.00171092,0.00171092
75,370.949,0.85607,0.49368,0.37255,0.66416,1.24318,0.98776,1,0.995,0.80328,0.96071,0.97297,0.97272,0.8006,0.76542,0.9985,0.04003,0.59716,1.12941,0.00170696,0.00170696,0.00170696
76,374.989,0.85666,0.7642,0.45162,0.69529,1.28625,0.94849,1,0.995,0.81395,0.92234,0.97297,0.97214,0.78668,0.72677,0.92532,0.05061,0.54541,1.08534,0.001703,0.001703,0.001703
77,379.487,0.82516,0.66053,0.38947,0.68313,1.28289,0.97314,0.97929,0.99447,0.81576,0.94628,0.95226,0.96839,0.83062,0.73443,0.99624,0.06673,0.54438,1.08263,0.00169904,0.00169904,0.00169904
78,383.952,0.78774,0.69763,0.36861,0.65739,1.18566,0.97309,0.97733,0.99447,0.80728,0.91368,0.94595,0.94425,0.86716,0.74093,0.88634,0.04565,0.51556,1.10523,0.00169508,0.00169508,0.00169508
79,388.779,0.81015,0.50605,0.32934,0.61498,1.2205,0.98802,1,0.995,0.807,0.93433,0.94595,0.93983,0.86015,0.741,0.84221,0.03945,0.50561,1.10188,0.00169112,0.00169112,0.00169112
80,393.396,0.78167,0.53322,0.35495,0.60476,1.20294,0.9172,1,0.99134,0.80456,0.84063,0.91892,0.91641,0.7709,0.76741,1.09611,0.02339,0.5503,1.14827,0.00168716,0.00168716,0.00168716
81,397.382,0.93037,0.80947,0.37151,0.66733,1.34926,0.92419,0.98862,0.9935,0.82432,0.84996,0.91862,0.9105,0.77484,0.76986,1.10692,0.02146,0.60466,1.1537,0.0016832,0.0016832,0.0016832
82,404.904,0.91882,0.409,0.37443,0.671,1.33375,0.98305,0.97297,0.99305,0.82368,0.91412,0.89189,0.90519,0.78851,0.76263,1.13463,0.01748,0.65824,1.14475,0.00167924,0.00167924,0.00167924
83,409.202,0.8659,0.43384,0.35924,0.68046,1.30952,0.98948,1,0.995,0.82132,0.9357,0.94595,0.95419,0.83534,0.73566,0.91416,0.01596,0.58553,1.11815,0.00167528,0.00167528,0.00167528
84,413.519,0.78039,0.45442,0.33636,0.62091,1.21226,0.99424,1,0.995,0.87172,0.96737,0.97297,0.95927,0.86097,0.64054,0.64272,0.01126,0.53509,1.05074,0.00167132,0.00167132,0.00167132
85,418.506,0.77247,0.35883,0.3666,0.60575,1.22378,0.99548,1,0.995,0.86336,0.96794,0.97297,0.96047,0.84367,0.6442,0.66438,0.01298,0.55258,1.057,0.00166736,0.00166736,0.00166736
86,422.625,0.8369,0.35899,0.35444,0.65133,1.29221,0.9941,1,0.995,0.85028,0.93687,0.94595,0.92019,0.83977,0.65176,0.79469,0.02396,0.75844,1.04476,0.0016634,0.0016634,0.0016634
87,426.642,0.77956,0.5714,0.34029,0.60309,1.19945,0.98749,1,0.995,0.83973,0.9608,0.97297,0.9696,0.89607,0.70648,0.64643,0.03118,0.77455,1.06616,0.00165944,0.00165944,0.00165944
88,436.107,0.83714,0.4681,0.37538,0.64357,1.25793,0.99319,1,0.995,0.85556,0.96608,0.97297,0.97427,0.90286,0.63539,0.52842,0.02392,0.64493,1.06846,0.00165548,0.00165548,0.00165548
89,441.141,0.8014,0.44236,0.37162,0.62051,1.22237,0.99435,1,0.995,0.8791,0.96731,0.97297,0.97437,0.87729,0.5771,0.60607,0.02307,0.54961,1.03388,0.00165152,0.00165152,0.00165152
90,445.645,0.88189,0.54383,0.36871,0.66793,1.27608,0.99304,1,0.995,0.83652,0.9662,0.97297,0.96506,0.90815,0.64566,0.52451,0.03611,0.51161,1.03779,0.00164756,0.00164756,0.00164756
91,451.121,0.80889,0.49352,0.35196,0.65448,1.20231,0.99574,1,0.995,0.83645,0.96837,0.97297,0.97029,0.83151,0.62066,0.74396,0.04471,0.51055,1.04286,0.0016436,0.0016436,0.0016436
92,455.581,0.8276,0.40628,0.39799,0.6574,1.24339,0.9854,1,0.995,0.81724,0.95827,0.97297,0.96865,0.65195,0.65822,1.25645,0.04356,0.58746,1.07698,0.00163964,0.00163964,0.00163964
93,459.877,0.80091,0.57047,0.33077,0.67941,1.21808,0.98352,1,0.995,0.83041,0.85024,0.86486,0.80455,0.63965,0.66128,1.28281,0.04083,0.63119,1.08053,0.00163568,0.00163568,0.00163568
94,464.2,0.82802,0.58194,0.34728,0.66011,1.2339,0.96808,1,0.99289,0.8298,0.91987,0.94595,0.9458,0.85262,0.66799,0.70165,0.04185,0.67216,1.09415,0.00163172,0.00163172,0.00163172
